Issue Key,Issue Type,Summary,Description,Epic Link,Labels,Issue Links: Blocks,Issue Links: Is Blocked By
S-1046,Story,Run Kano origination sprint,Execute first Kano sprint,E-0012,pamoja-story enab,,Is Blocked By:S-1045
S-1047,Story,Review Kano outputs,Review outputs from Kano,E-0012,pamoja-story test,,Is Blocked By:S-1046
S-1048,Story,Publish Kano backlog,Publish Kano backlog,E-0012,pamoja-story feat,,Is Blocked By:S-1047

I-0005,Task,Launch Artifacts Initiative,Initiative: Federation Launch Artifacts,P-0005,pamoja-initiative,
E-0013,Epic,Charter Toolkit,Epic: Charter Toolkit,TH-0005,pamoja-epic,
S-1049,Story,Create federation charter template,Create templates for federation charter,E-0013,pamoja-story req,,
S-1050,Story,Draft legal governance artifacts,Draft legal governance docs,E-0013,pamoja-story enab,,Is Blocked By:S-1049
S-1051,Story,Draft public constitution,Draft public federation constitution,E-0013,pamoja-story feat,,Is Blocked By:S-1050
S-1052,Story,Constraint clear charter docs,Run constraint clearance for charter docs,E-0013,pamoja-story test,,Is Blocked By:S-1051

E-0014,Epic,Council Establishment,Epic: Council Establishment,TH-0005,pamoja-epic,
S-1053,Story,Council appointment criteria,Define council appointment criteria,E-0014,pamoja-story req,,
S-1054,Story,Onboard council leads,Onboard council leaders,E-0014,pamoja-story enab,,Is Blocked By:S-1053
S-1055,Story,Publish council ops guide,Create council operations guide,E-0014,pamoja-story feat,,Is Blocked By:S-1054
S-1056,Story,Council kickoff constraint run,Run council kickoff with constraint checks,E-0014,pamoja-story test,,Is Blocked By:S-1055

E-0015,Epic,Governance Handbook,Epic: Governance Handbook,TH-0005,pamoja-epic,
S-1057,Story,Write governance roles/specs,Write governance roles specification,E-0015,pamoja-story req,,
S-1058,Story,Create federation flow docs,Create federation flow docs,E-0015,pamoja-story feat,,Is Blocked By:S-1057
S-1059,Story,Constraint integration docs,Draft constraint integration docs,E-0015,pamoja-story enab,,Is Blocked By:S-1058
S-1060,Story,Publish governance library,Publish governance artifact library,E-0015,pamoja-story feat,,Is Blocked By:S-1059

E-0016,Epic,Playbook & Lifecycle,Epic: Studio Playbooks & Lifecycle,TH-0006,pamoja-epic,
S-1061,Story,Draft studio lifecycle doc,Draft the studio lifecycle doc,E-0016,pamoja-story req,,
S-1062,Story,Create auth checklist,Create studio authorization checklist,E-0016,pamoja-story req,,Is Blocked By:S-1061
S-1063,Story,Create dissolution checklist,Create studio dissolution checklist,E-0016,pamoja-story req,,Is Blocked By:S-1062
S-1064,Story,Constraint checklists,Create constraint checklists for studios,E-0016,pamoja-story enab,,Is Blocked By:S-1063

E-0017,Epic,UME-OS Template Library,Epic: UME-OS Template Library,TH-0006,pamoja-epic,
S-1065,Story,Build base UME-OS template,Build UME-OS template,E-0017,pamoja-story feat,,
S-1066,Story,Map roles to UME-OS,Map roles into UME-OS template,E-0017,pamoja-story enab,,Is Blocked By:S-1065
S-1067,Story,Test UME-OS instantiation,Test UME-OS instantiation,E-0017,pamoja-story test,,Is Blocked By:S-1066
S-1068,Story,Publish template library,Publish UME-OS template library,E-0017,pamoja-story feat,,Is Blocked By:S-1067

E-0018,Epic,Studio Training,Epic: Studio Training,TH-0006,pamoja-epic,
S-1069,Story,Create studio training deck,Build training deck for studios,E-0018,pamoja-story enhancement,,
S-1070,Story,Run first training session,Conduct first studio training session,E-0018,pamoja-story enab,,Is Blocked By:S-1069
S-1071,Story,Capture training feedback,Capture feedback from training,E-0018,pamoja-story case,,Is Blocked By:S-1070
S-1072,Story,Revise studio playbook,Revise studio playbook,E-0018,pamoja-story improvement,,Is Blocked By:S-1071

E-0019,Epic,Dashboard MVP,Epic: Dashboard MVP,TH-0007,pamoja-epic,
S-1073,Story,Write reporting requirement doc,Write reporting requirement doc,E-0019,pamoja-story req,,
S-1074,Story,Build internal reporting dashboard,Build internal reporting dashboard,E-0019,pamoja-story system,,Is Blocked By:S-1073
S-1075,Story,Integrate constraint metrics,Integrate metrics into reporting,E-0019,pamoja-story enab,,Is Blocked By:S-1074
S-1076,Story,Publish internal reporting view,Publish internal reporting view,E-0019,pamoja-story feat,,Is Blocked By:S-1075

E-0020,Epic,Public Transparency Portal,Epic: Public Transparency Portal,TH-0007,pamoja-epic,
S-1077,Story,Create public portal model,Create public portal data model,E-0020,pamoja-story req,,
S-1078,Story,Publish public summaries,Publish public artifact summaries,E-0020,pamoja-story feat,,Is Blocked By:S-1077
S-1079,Story,Privacy & signal review,Review privacy and signal risks,E-0020,pamoja-story risk,,Is Blocked By:S-1078
S-1080,Story,Constraint flag tests,Run constraint flag tests,E-0020,pamoja-story test,,Is Blocked By:S-1079

E-0021,Epic,Metrics Pipeline,Epic: Metrics Pipeline,TH-0007,pamoja-epic,
S-1081,Story,Define KPI definitions,Define KPI definitions,E-0021,pamoja-story req,,
S-1082,Story,Configure metric pipelines,Configure metric pipelines,E-0021,pamoja-story capability,,Is Blocked By:S-1081
S-1083,Story,Alert rule tests,Run alert rule tests,E-0021,pamoja-story test,,Is Blocked By:S-1082
S-1084,Story,Build retrospectives dashboard,Build retrospectives dashboard,E-0021,pamoja-story feat,,Is Blocked By:S-1083

S-1085,Story,Engagement rules doc,Write partner engagement rules doc,E-0022,pamoja-story req,,
S-1086,Story,Draft external playbook,Draft external engagement playbook,E-0022,pamoja-story feat,,Is Blocked By:S-1085
S-1087,Story,Constraint-aware messaging docs,Produce messaging docs with constraint awareness,E-0022,pamoja-story req,,Is Blocked By:S-1086
S-1088,Story,External interface training,Train external interface teams on engagement,E-0022,pamoja-story enab,,Is Blocked By:S-1087

E-0023,Epic,Bahari Network Onboarding,Epic: Bahari Network Onboarding,TH-0008,pamoja-epic,
S-1089,Story,Bahari onboarding flow doc,Document Bahari onboarding flow,E-0023,pamoja-story req,,
S-1090,Story,Run first onboarding wave,Conduct first Bahari onboarding wave,E-0023,pamoja-story enab,,Is Blocked By:S-1089
S-1091,Story,Partner feedback loops,Capture partner feedback loops,E-0023,pamoja-story case,,Is Blocked By:S-1090
S-1092,Story,Publish partner readiness metrics,Publish partner readiness metrics,E-0023,pamoja-story metric,,Is Blocked By:S-1091

E-0024,Epic,Narrative Alignment Guide,Epic: Narrative Alignment Guide,TH-0008,pamoja-epic,
S-1093,Story,Narrative guidelines doc,Write narrative guidelines doc,E-0024,pamoja-story req,,
S-1094,Story,Launch first public narrative,Launch first constraint-aligned narrative,E-0024,pamoja-story feat,,Is Blocked By:S-1093
S-1095,Story,Constraint-review narrative,Run constraint review on narrative outputs,E-0024,pamoja-story test,,Is Blocked By:S-1094
S-1096,Story,Community engagement checks,Run community engagement verification,E-0024,pamoja-story enab,,Is Blocked By:S-1095

E-0025,Epic,Estate Governance Setup,Epic: Estate Governance Setup,TH-0009,pamoja-epic,
S-1097,Story,Draft estate governance docs,Draft governance docs for Eaton Family Estate,E-0025,pamoja-story req,,
S-1098,Story,Separation checklist docs,Create separation checklist docs,E-0025,pamoja-story req,,Is Blocked By:S-1097
S-1099,Story,Firewall policy docs,Draft firewall policy docs,E-0025,pamoja-story req,,Is Blocked By:S-1098
S-1100,Story,Publish estate boundary guide,Publish estate boundary guidance,E-0025,pamoja-story feat,,Is Blocked By:S-1099

E-0026,Epic,Family Studio Coordination,Epic: Family Studio Coordination,TH-0009,pamoja-epic,
S-1101,Story,Family studio onboarding doc,Create family studio onboarding docs,E-0026,pamoja-story req,,
S-1102,Story,Publish family studio playbooks,Publish family studio playbooks,E-0026,pamoja-story feat,,Is Blocked By:S-1101
S-1103,Story,Coordinate first family studio,Coordinate first family member studio,E-0026,pamoja-story enab,,Is Blocked By:S-1102
S-1104,Story,Validate federation compliance,Validate federation compliance for family studios,E-0026,pamoja-story test,,Is Blocked By:S-1103

E-0027,Epic,FA Training Curriculum,Epic: Federated Agile Training Curriculum,TH-0010,pamoja-epic,
S-1105,Story,Federated Agile fundamentals module,Create federated agile fundamentals training,E-0027,pamoja-story feat,,
S-1106,Story,Constraint compliance training,Create constraint compliance training module,E-0027,pamoja-story feat,,Is Blocked By:S-1105
S-1107,Story,Sequencing & backlog training,Create sequencing & backlog module,E-0027,pamoja-story feat,,Is Blocked By:S-1106
S-1108,Story,Meetings & rituals training,Create meetings & rituals module,E-0027,pamoja-story feat,,Is Blocked By:S-1107

E-0028,Epic,Onboarding Assets,Epic: Onboarding Assets,TH-0010,pamoja-epic,
S-1109,Story,Build onboarding checklists,Build onboarding checklists,E-0028,pamoja-story enab,,
S-1110,Story,Create FAQ knowledge base,Create onboarding FAQ knowledge base,E-0028,pamoja-story enhancement,,Is Blocked By:S-1109
S-1111,Story,Produce training videos,Produce training videos,E-0028,pamoja-story enab,,Is Blocked By:S-1110
S-1112,Story,Build onboarding portal,Build onboarding portal infrastructure,E-0028,pamoja-story system,,Is Blocked By:S-1111

E-0029,Epic,Facilitator Guides,Epic: Facilitator Guides,TH-0010,pamoja-epic,
S-1113,Story,Create facilitator guides,Create facilitator guides for training,E-0029,pamoja-story feat,,
S-1114,Story,Run first facilitator training,Run first facilitator training session,E-0029,pamoja-story enab,,Is Blocked By:S-1113
S-1115,Story,Capture cohort feedback,Capture cohort feedback,E-0029,pamoja-story case,,Is Blocked By:S-1114
S-1116,Story,Refine training materials,Refine training materials based on feedback,E-0029,pamoja-story improvement,,Is Blocked By:S-1115
